name	source	genomospecies	contigs	genome size (Mbp)	N50 length (bp)	N90 length (bp)	max	GC content	completeness	contamination	QS	quality level	phylum	class	order	family	genus	species
d1D.bin.4	MAG	Yes	32	1.90	 107,983 	 31,888 	 178,538 	41.01	99.18	1.58	91.28	High-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Ruminococcus_E	s__Ruminococcus_E bromii_B
d1D.bin.40	MAG	No	203	3.04	 22,752 	 6,889 	 74,727 	42.14	83.42	2.20	72.42	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Roseburia	s__Roseburia sp003470905
d1D.bin.45	MAG	No	93	1.76	 32,222 	 8,539 	 144,159 	57.48	70.39	0.12	69.79	Medium-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium prausnitzii_D
d1D.bin.46	MAG	Yes	530	3.77	 9,050 	 3,443 	 38,744 	41.94	81.37	1.85	72.12	Medium-quality	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Marinifilaceae	g__Butyricimonas	s__Butyricimonas virosa
d1D.bin.48	MAG	Yes	89	4.69	 93,702 	 25,894 	 239,242 	56.08	97.31	0.36	95.51	High-quality	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Lelliottia	s__
d1D.bin.49	MAG	Yes	85	2.45	 69,502 	 13,801 	 163,872 	38.34	93.86	1.04	88.66	High-quality	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_B	s__Enterococcus_B lactis
d1D.bin.55	MAG	No	124	3.66	 54,368 	 18,825 	 255,931 	41.44	100.00	4.72	76.40	High-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Roseburia	s__Roseburia inulinivorans
d1D.bin.57	MAG	Yes	67	2.72	 67,939 	 19,330 	 158,845 	35.98	98.59	0.04	98.39	High-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospira	s__Lachnospira sp000436475
d1G.bin.12	MAG	Yes	59	2.60	 74,931 	 22,945 	 253,822 	42.24	99.18	0.15	98.43	High-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Butyribacter	s__Butyribacter sp003529475
d1G.bin.17	MAG	Yes	19	2.39	 256,197 	 55,445 	 564,435 	45.10	87.65	0.50	85.15	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Pararoseburia	s__Pararoseburia lenta
d1G.bin.21	MAG	Yes	47	2.68	 75,293 	 32,478 	 179,029 	44.80	98.51	0.19	97.56	High-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminiclostridium_E	s__Ruminiclostridium_E siraeum
d1G.bin.23	MAG	Yes	22	2.34	 179,195 	 84,889 	 253,288 	60.09	99.97	0.02	99.87	High-quality	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium longum
d1G.bin.24	MAG	Yes	26	2.28	 132,105 	 49,982 	 252,237 	59.92	99.52	0.30	98.02	High-quality	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__Collinsella aerofaciens_O
d1G.bin.25	MAG	Yes	58	2.38	 69,114 	 18,500 	 181,060 	41.82	99.60	0.02	99.50	High-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Mediterraneibacter	s__Mediterraneibacter torques
d1G.bin.26	MAG	Yes	367	3.15	 11,412 	 4,064 	 45,401 	41.20	89.54	3.57	71.69	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__KLE1615	s__KLE1615 sp900066985
d1G.bin.33	MAG	Yes	268	5.97	 35,748 	 10,536 	 183,629 	43.18	90.09	3.00	75.09	High-quality	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides goldsteinii
d1G.bin.38	MAG	Yes	163	2.35	 22,518 	 6,505 	 77,486 	58.53	89.60	4.16	68.80	Medium-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium prausnitzii
d1G.bin.39	MAG	No	144	1.89	 18,900 	 5,941 	 76,363 	59.89	82.50	3.38	65.60	Medium-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium longum
d1G.bin.4	MAG	No	38	2.43	 98,058 	 42,273 	 209,500 	43.68	81.29	0.62	78.19	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__Agathobacter faecis
d1G.bin.41	MAG	No	48	2.65	 107,646 	 25,903 	 352,344 	43.00	94.55	3.16	78.75	High-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus_D	s__Ruminococcus_D bicirculans
d1G.bin.43	MAG	Yes	134	2.52	 29,168 	 8,648 	 81,685 	38.11	89.42	0.00	89.42	Medium-quality	p__Bacillota_A	c__Clostridia	o__UBA1381	f__UBA1381	g__CAG-41	s__CAG-41 sp900066215
d1G.bin.44	MAG	No	204	2.00	 12,546 	 4,929 	 56,864 	59.16	83.63	4.32	62.03	Medium-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium duncaniae
d1G.bin.45	MAG	Yes	42	3.36	 122,534 	 35,583 	 416,302 	46.35	89.45	0.16	88.65	Medium-quality	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides stercoris
d1G.bin.53	MAG	Yes	290	3.45	 20,438 	 5,036 	 106,908 	37.57	91.24	3.90	71.74	High-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Anaerobutyricum	s__Anaerobutyricum hallii
d1G.bin.55	MAG	Yes	45	2.31	 105,014 	 26,035 	 214,491 	36.03	84.83	0.70	81.33	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospira	s__Lachnospira rogosae
d1G.bin.57	MAG	No	52	2.91	 90,782 	 33,633 	 194,657 	41.59	99.98	2.70	86.48	High-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__Agathobacter rectalis
d1G.bin.58	MAG	Yes	67	2.62	 58,052 	 18,464 	 195,485 	37.18	99.19	1.10	93.69	High-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Anaerostipes	s__Anaerostipes hadrus
d1G.bin.59	MAG	Yes	170	2.78	 24,025 	 8,103 	 122,855 	46.10	93.16	3.42	76.06	High-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Schaedlerella	s__Schaedlerella glycyrrhizinilytica_A
d1G.bin.60	MAG	Yes	105	3.12	 49,891 	 16,697 	 359,598 	41.94	87.18	0.85	82.93	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Roseburia	s__Roseburia inulinivorans
d1G.bin.62	MAG	No	390	3.57	 12,331 	 4,257 	 53,262 	60.16	90.81	3.56	73.01	High-quality	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Bilophila	s__Bilophila wadsworthia
d1G.bin.68	MAG	Yes	477	3.39	 9,549 	 3,247 	 48,295 	43.18	85.48	3.01	70.43	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A faecis
d1G.bin.76	MAG	Yes	51	2.44	 68,015 	 34,033 	 170,421 	36.36	96.23	0.43	94.08	High-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospira	s__Lachnospira sp900316325
d1G.bin.78	MAG	No	243	2.08	 11,142 	 4,273 	 43,363 	60.77	81.68	1.69	73.23	Medium-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Gemmiger	s__Gemmiger formicilis
d1G.bin.9	MAG	Yes	76	2.42	 53,044 	 13,885 	 297,238 	62.37	94.01	0.64	90.81	High-quality	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_A	g__Sutterella	s__Sutterella wadsworthensis_A
d1I.bin.10	MAG	No	87	2.71	 45,660 	 16,444 	 131,740 	37.13	99.97	1.43	92.82	High-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Anaerostipes	s__Anaerostipes hadrus
d1I.bin.12	MAG	Yes	88	3.52	 123,094 	 17,919 	 363,658 	34.93	97.55	1.35	90.80	High-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Cellulosilyticaceae	g__Zhenhengia	s__Zhenhengia yiwuensis
d1I.bin.29	MAG	Yes	249	1.65	 8,206 	 3,350 	 35,691 	56.82	80.07	0.00	80.07	Medium-quality	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium pseudocatenulatum
d1I.bin.30	MAG	No	50	2.44	 69,312 	 23,689 	 347,602 	37.67	89.26	2.73	75.61	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospira	s__Lachnospira eligens_A
d1I.bin.31	MAG	Yes	32	2.29	 96,246 	 40,538 	 208,703 	50.48	85.50	0.01	85.45	Medium-quality	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Limisoma	s__Limisoma sp000437795
d1I.bin.33	MAG	Yes	41	2.75	 117,281 	 41,056 	 215,933 	43.86	91.00	0.46	88.70	High-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__Agathobacter faecis
d1I.bin.38	MAG	Yes	281	1.72	 7,419 	 3,075 	 42,919 	57.96	86.16	1.72	77.56	Medium-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium prausnitzii_D
d1I.bin.44	MAG	Yes	43	2.92	 109,138 	 36,396 	 349,017 	50.58	83.75	0.52	81.15	Medium-quality	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella sp900546345
d1I.bin.54	MAG	No	171	3.10	 29,006 	 8,870 	 90,023 	42.19	86.11	4.58	63.21	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Roseburia	s__Roseburia inulinivorans
d1I.bin.55	MAG	No	29	2.35	 117,658 	 49,029 	 181,652 	47.88	80.13	0.34	78.43	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Fusicatenibacter	s__Fusicatenibacter saccharivorans
d1I.bin.59	MAG	No	235	3.93	 25,260 	 7,837 	 89,077 	45.44	87.61	0.87	83.26	Medium-quality	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides merdae
d1I.bin.73	MAG	No	118	1.88	 24,175 	 8,899 	 65,767 	42.49	79.09	3.20	63.09	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Dorea_A	s__Dorea_A longicatena_B
d1I.bin.75	MAG	Yes	47	2.17	 79,070 	 26,047 	 172,376 	52.51	85.28	0.00	85.28	Medium-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus_C	s__Ruminococcus_C sp000980705
d1J.bin.105	MAG	Yes	219	1.59	 8,832 	 3,612 	 26,891 	38.18	86.81	2.49	74.36	Medium-quality	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Amedibacillus	s__Amedibacillus dolichus
d1J.bin.11	MAG	No	294	2.14	 9,536 	 3,549 	 35,955 	46.82	73.82	0.56	71.02	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Schaedlerella	s__Schaedlerella glycyrrhizinilytica_A
d1J.bin.113	MAG	No	274	2.41	 12,102 	 3,945 	 70,235 	37.60	82.86	2.94	68.16	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospira	s__Lachnospira eligens_A
d1J.bin.2	MAG	No	344	3.30	 12,147 	 4,597 	 73,323 	45.64	82.30	2.97	67.45	Medium-quality	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides johnsonii
d1J.bin.22	MAG	Yes	332	3.58	 14,874 	 5,434 	 73,390 	43.51	88.45	1.95	78.70	Medium-quality	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Marinifilaceae	g__Odoribacter	s__Odoribacter splanchnicus
d1J.bin.24	MAG	No	160	2.62	 31,154 	 7,179 	 142,988 	26.73	89.33	2.93	74.68	Medium-quality	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium sp900540255
d1J.bin.31	MAG	Yes	173	1.90	 15,869 	 4,940 	 45,766 	58.98	78.12	2.17	67.27	Medium-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium duncaniae
d1J.bin.32	MAG	Yes	24	1.97	 156,608 	 43,874 	 216,849 	40.67	81.61	1.49	74.16	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Faecalimonas	s__Faecalimonas phoceensis
d1J.bin.34	MAG	Yes	217	1.72	 9,268 	 4,256 	 39,002 	60.44	79.02	0.78	75.12	Medium-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium longum
d1J.bin.37	MAG	No	215	1.74	 9,857 	 4,110 	 36,165 	46.18	79.73	0.65	76.48	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Pararoseburia	s__Pararoseburia lenta
d1J.bin.38	MAG	Yes	47	1.66	 60,759 	 17,234 	 165,250 	39.38	80.16	0.02	80.06	Medium-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Ruminococcus_E	s__Ruminococcus_E sp003438075
d1J.bin.46	MAG	No	157	1.63	 12,348 	 5,157 	 50,066 	54.40	82.37	0.52	79.77	Medium-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__CAG-217	s__CAG-217 sp000436335
d1J.bin.52	MAG	Yes	359	1.70	 5,297 	 2,618 	 24,567 	65.24	73.28	2.86	58.98	Medium-quality	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_A	g__Sutterella	s__Sutterella parvirubra
d1J.bin.54	MAG	No	97	2.83	 38,088 	 14,573 	 156,481 	43.71	99.04	0.05	98.79	High-quality	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Barnesiellaceae	g__Barnesiella	s__Barnesiella intestinihominis
d1J.bin.60	MAG	Yes	76	2.86	 53,296 	 19,452 	 227,313 	62.64	81.45	1.66	73.15	Medium-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Flavonifractor	s__Flavonifractor plautii
d1J.bin.66	MAG	No	91	1.66	 27,143 	 9,171 	 75,795 	45.31	82.04	2.51	69.49	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Hominisplanchenecus	s__Hominisplanchenecus faecis
d1J.bin.68	MAG	Yes	102	2.29	 33,204 	 11,478 	 124,956 	43.85	83.85	1.13	78.20	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Ruminococcus_B	s__Ruminococcus_B gnavus
d1J.bin.69	MAG	Yes	40	2.41	 93,267 	 38,971 	 203,899 	39.02	90.83	0.25	89.58	High-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia	s__Blautia hansenii
d1J.bin.77	MAG	No	52	2.06	 58,082 	 19,376 	 208,213 	40.80	74.66	1.94	64.96	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Mediterraneibacter	s__Mediterraneibacter faecis
d1J.bin.83	MAG	No	8	1.17	 675,613 	 61,619 	 675,613 	42.55	74.96	0.06	74.66	Medium-quality	p__Bacillota_C	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium	s__Phascolarctobacterium faecium
d1J.bin.84	MAG	Yes	189	1.49	 11,067 	 3,599 	 61,291 	62.53	74.68	0.04	74.48	Medium-quality	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__Collinsella intestinalis
d1J.bin.85	MAG	Yes	232	1.80	 10,711 	 3,735 	 39,995 	46.37	73.77	2.27	62.42	Medium-quality	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Choladocola	s__Choladocola sp003481535
d1J.bin.86	MAG	No	410	2.18	 6,308 	 2,722 	 33,045 	29.14	84.75	1.42	77.65	Medium-quality	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium_A	s__Fusobacterium_A mortiferum
d1J.bin.88	MAG	Yes	215	2.41	 15,933 	 5,499 	 43,481 	56.45	91.59	0.37	89.74	High-quality	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Gemmiger	s__Gemmiger qucibialis
d1J.bin.90	MAG	Yes	224	1.76	 9,925 	 3,622 	 42,058 	29.71	74.63	2.41	62.58	Medium-quality	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Faecalibacillus	s__Faecalibacillus faecis
