gene_id	MGE_name	type	kingdom	phylum	class	order	family	genus	species
d21J_92108_4	14_rep4_2_CDS3(pKC5b)_AF378372	Plasmid	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecalis
d7E_100037_1	14_rep4_2_CDS3(pKC5b)_AF378372	Plasmid	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecium
d28D_20618_1	14_rep4_2_CDS3(pKC5b)_AF378372	Plasmid	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus fermentum
d14B_77305_2	140_repUS18__rep(pKKS825)_FN377602.2	Plasmid	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus paranthracis
d21J_60991_2	140_repUS18__rep(pKKS825)_FN377602.2	Plasmid	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus sp. BS-02
d14K_12678_3	140_repUS18__rep(pKKS825)_FN377602.2	Plasmid	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus aureus
d1F_32001_67	1426_tnpA_KF445086.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Raoultella	s__Raoultella ornithinolytica
d14I_97505_1	1431_IS91_AIEX01000012.1	Insertion_element	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
d1I_83691_3	1447_tnpA_CP002291.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
d28B_15395_2	1447_tnpA_CP002291.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
d21J_118938_5	1447_tnpA_CP002291.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
d35O_113887_3	1473_tnpA_AJ344068.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas aeruginosa
d3J_27374_2	1475_tnpA_KR066794.1	Transposon	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecium
d14I_12546_1	1475_tnpA_KR066794.1	Transposon	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecium
d7B_19808_1	1475_tnpA_KR066794.1	Transposon	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus hirae
d28C_111629_1	1475_tnpA_KR066794.1	Transposon	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus hirae
d3L_37535_29	1475_tnpA_KR066794.1	Transposon	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus reuteri
d7B_82919_1	1475_tnpA_KR066794.1	Transposon	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus vaginalis
d21L_46592_1	1475_tnpA_KR066794.1	Transposon	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus vaginalis
d14A_11844_4	1478_tnpA_JOQR01000001.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia fergusonii
d14B_126530_2	1484_tnpA10_HQ840942.1	Transposase	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Proteus	s__Proteus mirabilis
d14N_17830_1	15_rep4_3_ORF(pMBB1)_EFU26268	Plasmid	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecium
d14I_90635_3	15_rep4_3_ORF(pMBB1)_EFU26268	Plasmid	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecium
d21J_144204_3	1500_tnpA_KC354801.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Moraxellales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter lwoffii
d21J_164924_5	1500_tnpA_KC354801.1	Transposon	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Moraxellales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter sp. 10FS3-1
