d21J_41163_13	d21J_41163_13	67_rep13_5_rep(pMC524/MBM)_AJ312056.2
d14B_77305_2	d14B_78914_1	140_repUS18__rep(pKKS825)_FN377602.2
d14B_107833_2	d14B_107833_2	1393_tnpA_FR733648.1
d14B_107833_2	d14I_53747_2	1393_tnpA_FR733648.1
d14B_107833_2	d21J_68690_2	1393_tnpA_FR733648.1
d14B_107833_2	d7B_18127_1	1393_tnpA_FR733648.1
d14B_107833_2	d7E_95815_24	1393_tnpA_FR733648.1
d14A_8768_3	d14A_8768_3	638_tnpA_DQ361537.1
d14A_8768_3	d21A_46534_6	638_tnpA_DQ361537.1
d14A_8768_3	d21K_20076_9	638_tnpA_DQ361537.1
d14A_8768_3	d28D_14137_1	638_tnpA_DQ361537.1
d14A_8768_3	d28K_31162_10	638_tnpA_DQ361537.1
d14A_8768_3	d35L_157224_17	638_tnpA_DQ361537.1
d14A_8768_3	d35N_8539_10	638_tnpA_DQ361537.1
d14A_8768_7	d14A_8768_7	491_tnpA_CXDB01000323.1
d14A_8768_7	d21A_46534_2	491_tnpA_CXDB01000323.1
d14A_8768_7	d21K_20076_13	491_tnpA_CXDB01000323.1
d14A_8768_7	d28D_17894_3	491_tnpA_CXDB01000323.1
d14A_8768_7	d28K_31162_6	491_tnpA_CXDB01000323.1
d14A_8768_7	d35L_157224_13	491_tnpA_CXDB01000323.1
d14A_8768_7	d35N_8539_6	491_tnpA_CXDB01000323.1
d14M_20827_2	d14M_20827_2	428_tnpA_JX077110.1
d14J_45646_3	d14J_45646_3	1901_tnpA_AM235768.1
d21J_38357_15	d21J_38357_15	2364_tnpA_CP000864.1
d21J_38357_15	d35O_204454_3	2364_tnpA_CP000864.1
d21J_38357_17	d21J_38357_17	2364_tnpA_CP000864.1
d21J_38357_17	d35O_204454_2	2364_tnpA_CP000864.1
d21J_38357_17	d7B_31089_2	2364_tnpA_CP000864.1
d21J_38357_17	d3O_16973_3	2364_tnpA_CP000864.1
d21J_38357_17	d14B_38763_2	2364_tnpA_CP000864.1
d21J_38357_17	d21E_72807_2	2364_tnpA_CP000864.1
d21J_38357_17	d21F_81969_2	2364_tnpA_CP000864.1
d21J_38357_17	d21M_47383_1	2364_tnpA_CP000864.1
d21J_38357_17	d28D_23494_2	2364_tnpA_CP000864.1
d21J_38357_17	d3I_516_2	2364_tnpA_CP000864.1
d21J_38357_17	d21J_100163_2	2364_tnpA_CP000864.1
d21J_139884_2	d21J_139884_2	1004_tnpA_KT779035.1
d21J_139884_2	d3O_15185_1	1004_tnpA_KT779035.1
d3I_22341_4	d3I_22341_4	1825_tnpA1353_KJ541071.1
d3I_22341_5	d3I_22341_5	347_istA_DQ125241.2
d3I_22341_5	d3J_32312_2	347_istA_DQ125241.2
d3I_22341_6	d3I_22341_6	384_istB_CYCT01000079.1
d28B_8206_2	d28B_8206_2	483_tnpA_HE577623.1
d28B_8206_2	HC47_119_6	483_tnpA_HE577623.1
d14B_137144_6	d14B_137144_6	60_rep11_3_rep(pEFR)_AF511037
d14B_137144_6	d14I_94626_5	60_rep11_3_rep(pEFR)_AF511037
d14B_137144_6	d14K_15575_1	60_rep11_3_rep(pEFR)_AF511037
d14B_137144_6	d14M_19021_1	60_rep11_3_rep(pEFR)_AF511037
d14B_137144_6	d14N_33104_1	60_rep11_3_rep(pEFR)_AF511037
d14B_137144_6	d14O_13400_1	60_rep11_3_rep(pEFR)_AF511037
d14B_137144_6	d21A_10483_1	60_rep11_3_rep(pEFR)_AF511037
d14B_137144_6	d21E_98748_5	60_rep11_3_rep(pEFR)_AF511037
d14B_137144_6	d21F_20740_1	60_rep11_3_rep(pEFR)_AF511037
d14B_137144_6	d21J_203218_1	60_rep11_3_rep(pEFR)_AF511037
d14B_137144_6	d21M_45262_2	60_rep11_3_rep(pEFR)_AF511037
d14B_137144_6	d28D_9484_1	60_rep11_3_rep(pEFR)_AF511037
d14B_137144_6	d35A_38989_4	60_rep11_3_rep(pEFR)_AF511037
d14B_137144_6	d35J_87651_1	60_rep11_3_rep(pEFR)_AF511037
d14B_137144_6	d3E_22475_3	60_rep11_3_rep(pEFR)_AF511037
d14B_137144_6	d3F_59260_1	60_rep11_3_rep(pEFR)_AF511037
d14B_137144_6	d3G_32080_2	60_rep11_3_rep(pEFR)_AF511037
d14B_137144_6	d3L_16333_1	60_rep11_3_rep(pEFR)_AF511037
d14B_137144_6	d3N_33027_2	60_rep11_3_rep(pEFR)_AF511037
d14B_137144_6	d5B_7508_5	60_rep11_3_rep(pEFR)_AF511037
d14B_137144_6	d7A_8034_2	60_rep11_3_rep(pEFR)_AF511037
d14B_137144_6	d7B_28883_4	60_rep11_3_rep(pEFR)_AF511037
d14B_137144_6	d7E_28098_1	60_rep11_3_rep(pEFR)_AF511037
d14B_137144_6	d7H_1062_1	60_rep11_3_rep(pEFR)_AF511037
d14B_137144_6	d7I_13253_2	60_rep11_3_rep(pEFR)_AF511037
d14B_137144_6	d7J_86243_1	60_rep11_3_rep(pEFR)_AF511037
d14B_137144_6	d7K_62639_3	60_rep11_3_rep(pEFR)_AF511037
d14B_137144_6	d7L_2935_2	60_rep11_3_rep(pEFR)_AF511037
d14B_137144_6	d7M_2226_3	60_rep11_3_rep(pEFR)_AF511037
d14B_137144_6	d7N_28707_1	60_rep11_3_rep(pEFR)_AF511037
d14B_137144_6	d7O_56346_1	60_rep11_3_rep(pEFR)_AF511037
d14I_93935_6	d14I_93935_6	279_tnpA_M95402.1
d14I_93935_6	d14A_7225_6	279_tnpA_M95402.1
d14I_93935_6	d14C_1717_6	279_tnpA_M95402.1
d14I_93935_6	d14D_17390_1	279_tnpA_M95402.1
d14I_93935_6	d14J_12498_3	279_tnpA_M95402.1
d14I_93935_6	d14J_50007_6	279_tnpA_M95402.1
d14I_93935_6	d14L_18017_5	279_tnpA_M95402.1
d14I_93935_6	d14M_38749_6	279_tnpA_M95402.1
d14I_93935_6	d14N_25292_6	279_tnpA_M95402.1
d14I_93935_6	d1F_62272_2	279_tnpA_M95402.1
d14I_93935_6	d21B_22332_1	279_tnpA_M95402.1
d14I_93935_6	d21C_10688_2	279_tnpA_M95402.1
d14I_93935_6	d21E_99069_1	279_tnpA_M95402.1
d14I_93935_6	d21G_1030_1	279_tnpA_M95402.1
d14I_93935_6	d21K_4094_5	279_tnpA_M95402.1
d14I_93935_6	d21M_14018_1	279_tnpA_M95402.1
d14I_93935_6	d21N_29758_6	279_tnpA_M95402.1
d14I_93935_6	d28A_4813_3	279_tnpA_M95402.1
d14I_93935_6	d28C_70718_4	279_tnpA_M95402.1
d14I_93935_6	d28E_159838_2	279_tnpA_M95402.1
d14I_93935_6	d28F_7201_3	279_tnpA_M95402.1
d14I_93935_6	d28J_50161_6	279_tnpA_M95402.1
d14I_93935_6	d28K_294_1	279_tnpA_M95402.1
d14I_93935_6	d28L_8020_6	279_tnpA_M95402.1
d14I_93935_6	d28M_12765_3	279_tnpA_M95402.1
d14I_93935_6	d28O_49887_5	279_tnpA_M95402.1
d14I_93935_6	d35E_45945_1	279_tnpA_M95402.1
d14I_93935_6	d35J_65104_6	279_tnpA_M95402.1
d14I_93935_6	d35L_191610_6	279_tnpA_M95402.1
d14I_93935_6	d35O_50418_1	279_tnpA_M95402.1
d14I_93935_6	d35O_119336_8	279_tnpA_M95402.1
d14I_93935_6	d3I_4097_3	279_tnpA_M95402.1
d14I_93935_6	d3J_15567_2	279_tnpA_M95402.1
d14I_93935_6	d3O_14286_1	279_tnpA_M95402.1
d14I_93935_6	d42B_155048_2	279_tnpA_M95402.1
d14I_93935_6	d42B_165644_5	279_tnpA_M95402.1
d14I_93935_6	d42C_25656_3	279_tnpA_M95402.1
d14I_93935_6	d42L_13109_6	279_tnpA_M95402.1
d14I_93935_6	d42M_17332_2	279_tnpA_M95402.1
d14I_93935_6	d42N_31558_5	279_tnpA_M95402.1
d14I_93935_6	d42N_56116_1	279_tnpA_M95402.1
d14I_93935_6	d42O_83814_2	279_tnpA_M95402.1
d14I_93935_6	d5G_22107_6	279_tnpA_M95402.1
d14I_93935_6	d5I_2826_1	279_tnpA_M95402.1
d14I_93935_6	d5L_29428_3	279_tnpA_M95402.1
d14I_93935_6	d5M_7503_2	279_tnpA_M95402.1
d14I_93935_6	d5O_18085_2	279_tnpA_M95402.1
d14I_93935_6	d7H_54860_3	279_tnpA_M95402.1
d14I_93935_6	d7L_25537_2	279_tnpA_M95402.1
d14I_93935_6	d7M_21105_6	279_tnpA_M95402.1
d14I_93935_6	d7N_15352_2	279_tnpA_M95402.1
d14I_93935_6	d7F_15078_3	279_tnpA_M95402.1
d14I_10850_1	d14I_10850_1	122_rep24_2_rep(pWBG749)_GQ900391.1
d14I_10850_1	d14B_11996_1	122_rep24_2_rep(pWBG749)_GQ900391.1
d14I_10850_1	d21A_32074_1	122_rep24_2_rep(pWBG749)_GQ900391.1
d14I_10850_1	d7B_44988_1	122_rep24_2_rep(pWBG749)_GQ900391.1
d14I_10850_1	d7E_13029_6	122_rep24_2_rep(pWBG749)_GQ900391.1
d14I_10850_1	d7E_13029_7	122_rep24_2_rep(pWBG749)_GQ900391.1
d14I_10850_1	d7K_62070_17	122_rep24_2_rep(pWBG749)_GQ900391.1
d1F_32001_67	d1F_32001_67	1426_tnpA_KF445086.1
d21A_21382_13	d21A_21382_13	482_tnpA_FN649418.1
d21A_21382_13	d14B_120734_2	482_tnpA_FN649418.1
d21A_21382_13	d14D_16467_1	482_tnpA_FN649418.1
d21A_21382_13	d14I_16400_2	482_tnpA_FN649418.1
d21A_21382_13	d14L_4841_1	482_tnpA_FN649418.1
d21A_21382_13	d14N_13679_2	482_tnpA_FN649418.1
d21A_21382_13	d14O_12728_1	482_tnpA_FN649418.1
d21A_21382_13	d3C_1639_11	482_tnpA_FN649418.1
d21A_21382_13	d1I_35443_1	482_tnpA_FN649418.1
d21A_21382_13	d21A_46914_2	482_tnpA_FN649418.1
d21A_21382_13	d21F_77286_2	482_tnpA_FN649418.1
d21A_21382_13	d21K_30830_10	482_tnpA_FN649418.1
d21A_21382_13	d28B_15794_2	482_tnpA_FN649418.1
d21A_21382_13	d28D_5726_2	482_tnpA_FN649418.1
d21A_21382_13	d28N_17242_5	482_tnpA_FN649418.1
d21A_21382_13	d35D_26746_4	482_tnpA_FN649418.1
d21A_21382_13	d35M_6012_9	482_tnpA_FN649418.1
d21A_21382_13	d35O_23007_109	482_tnpA_FN649418.1
d21A_21382_13	d3I_11718_2	482_tnpA_FN649418.1
d21A_21382_13	d3J_23254_2	482_tnpA_FN649418.1
d21A_21382_13	d3N_23287_3	482_tnpA_FN649418.1
d21A_21382_13	d7E_52207_1	482_tnpA_FN649418.1
d21A_21382_13	d7F_8388_3	482_tnpA_FN649418.1
d21A_21382_13	HC47_96_7	482_tnpA_FN649418.1
d21A_21382_13	d3L_15654_3	482_tnpA_FN649418.1
d21A_21382_13	d14I_73720_1	482_tnpA_FN649418.1
d21A_21382_13	d14O_7988_1	482_tnpA_FN649418.1
d21A_21382_13	d21J_150667_1	482_tnpA_FN649418.1
d21A_21382_13	d21K_5477_1	482_tnpA_FN649418.1
d21A_21382_13	d28E_157480_2	482_tnpA_FN649418.1
d21A_21382_13	d28F_23475_2	482_tnpA_FN649418.1
d21A_21382_13	d3I_23247_2	482_tnpA_FN649418.1
d21A_21382_13	d5L_24570_1	482_tnpA_FN649418.1
d21A_21382_13	HC160_59_7	482_tnpA_FN649418.1
d21A_21382_13	d3J_13557_2	482_tnpA_FN649418.1
d7K_44071_2	d7K_44071_2	126_repUS4__repA(pCI2000)_AF178424
d14A_12167_4	d14A_12167_4	267_qacEdelta_HM138673.1
d14A_12167_4	d14B_77489_1	267_qacEdelta_HM138673.1
d14A_12167_4	d14C_4983_1	267_qacEdelta_HM138673.1
d14A_12167_4	d14D_15632_1	267_qacEdelta_HM138673.1
d14A_12167_4	d14G_12631_2	267_qacEdelta_HM138673.1
d14A_12167_4	d14I_32219_3	267_qacEdelta_HM138673.1
d14A_12167_4	d14J_43687_1	267_qacEdelta_HM138673.1
d14A_12167_4	d14K_22564_6	267_qacEdelta_HM138673.1
d14A_12167_4	d14L_16306_4	267_qacEdelta_HM138673.1
d14A_12167_4	d14M_37441_3	267_qacEdelta_HM138673.1
d14A_12167_4	d14N_47898_4	267_qacEdelta_HM138673.1
d14A_12167_4	d14O_21241_6	267_qacEdelta_HM138673.1
d14A_12167_4	d1F_21857_6	267_qacEdelta_HM138673.1
d14A_12167_4	d1I_13279_3	267_qacEdelta_HM138673.1
d14A_12167_4	d21B_15736_6	267_qacEdelta_HM138673.1
d14A_12167_4	d21C_3328_5	267_qacEdelta_HM138673.1
d14A_12167_4	d21E_33595_5	267_qacEdelta_HM138673.1
d14A_12167_4	d21F_35283_4	267_qacEdelta_HM138673.1
d14A_12167_4	d21G_4574_5	267_qacEdelta_HM138673.1
d14A_12167_4	d21J_75466_7	267_qacEdelta_HM138673.1
d14A_12167_4	d21L_21156_8	267_qacEdelta_HM138673.1
d14A_12167_4	d21M_20239_4	267_qacEdelta_HM138673.1
d14A_12167_4	d21N_2662_4	267_qacEdelta_HM138673.1
d14A_12167_4	d21O_82867_5	267_qacEdelta_HM138673.1
d14A_12167_4	d28A_206519_2	267_qacEdelta_HM138673.1
d14A_12167_4	d28B_11106_3	267_qacEdelta_HM138673.1
d14A_12167_4	d28C_12122_5	267_qacEdelta_HM138673.1
d14A_12167_4	d28D_21436_8	267_qacEdelta_HM138673.1
d14A_12167_4	d28E_6353_1	267_qacEdelta_HM138673.1
d14A_12167_4	d28F_21055_3	267_qacEdelta_HM138673.1
d14A_12167_4	d28J_68181_7	267_qacEdelta_HM138673.1
d14A_12167_4	d28K_9681_1	267_qacEdelta_HM138673.1
d14A_12167_4	d28L_8784_1	267_qacEdelta_HM138673.1
d14A_12167_4	d28M_9763_6	267_qacEdelta_HM138673.1
d14A_12167_4	d28O_11622_3	267_qacEdelta_HM138673.1
d14A_12167_4	d35A_69561_3	267_qacEdelta_HM138673.1
d14A_12167_4	d35B_1555_2	267_qacEdelta_HM138673.1
d14A_12167_4	d35C_14863_2	267_qacEdelta_HM138673.1
d14A_12167_4	d35D_28472_3	267_qacEdelta_HM138673.1
d14A_12167_4	d35E_86692_3	267_qacEdelta_HM138673.1
d14A_12167_4	d35H_26554_12	267_qacEdelta_HM138673.1
d14A_12167_4	d35J_44257_1	267_qacEdelta_HM138673.1
d14A_12167_4	d35K_60558_2	267_qacEdelta_HM138673.1
d14A_12167_4	d35L_28152_3	267_qacEdelta_HM138673.1
d14A_12167_4	d35M_4746_3	267_qacEdelta_HM138673.1
d14A_12167_4	d35N_16143_2	267_qacEdelta_HM138673.1
d14A_12167_4	d35O_14936_4	267_qacEdelta_HM138673.1
d14A_12167_4	d3A_29318_2	267_qacEdelta_HM138673.1
d14A_12167_4	d3B_15875_2	267_qacEdelta_HM138673.1
d14A_12167_4	d3F_16270_2	267_qacEdelta_HM138673.1
d14A_12167_4	d3I_11013_6	267_qacEdelta_HM138673.1
d14A_12167_4	d3J_22463_1	267_qacEdelta_HM138673.1
d14A_12167_4	d3L_35104_3	267_qacEdelta_HM138673.1
d14A_12167_4	d3N_1942_2	267_qacEdelta_HM138673.1
d14A_12167_4	d3O_17036_4	267_qacEdelta_HM138673.1
d14A_12167_4	d42A_36814_2	267_qacEdelta_HM138673.1
d14A_12167_4	d42B_38374_3	267_qacEdelta_HM138673.1
d14A_12167_4	d42C_17626_2	267_qacEdelta_HM138673.1
d14A_12167_4	d42D_53472_2	267_qacEdelta_HM138673.1
d14A_12167_4	d42E_99250_1	267_qacEdelta_HM138673.1
d14A_12167_4	d42H_8549_2	267_qacEdelta_HM138673.1
d14A_12167_4	d42I_45184_2	267_qacEdelta_HM138673.1
d14A_12167_4	d42J_39204_5	267_qacEdelta_HM138673.1
d14A_12167_4	d42L_11155_4	267_qacEdelta_HM138673.1
d14A_12167_4	d42O_56085_2	267_qacEdelta_HM138673.1
d14A_12167_4	d5B_7991_2	267_qacEdelta_HM138673.1
d14A_12167_4	d5E_11445_5	267_qacEdelta_HM138673.1
d14A_12167_4	d5G_24076_2	267_qacEdelta_HM138673.1
d14A_12167_4	d5H_1732_3	267_qacEdelta_HM138673.1
d14A_12167_4	d5I_10853_2	267_qacEdelta_HM138673.1
d14A_12167_4	d5J_2707_5	267_qacEdelta_HM138673.1
d14A_12167_4	d5K_6583_8	267_qacEdelta_HM138673.1
d14A_12167_4	d5L_11915_5	267_qacEdelta_HM138673.1
d14A_12167_4	d5M_18333_4	267_qacEdelta_HM138673.1
d14A_12167_4	d5N_16548_2	267_qacEdelta_HM138673.1
d14A_12167_4	d5O_13741_3	267_qacEdelta_HM138673.1
d14A_12167_4	d7A_793_2	267_qacEdelta_HM138673.1
d14A_12167_4	d7B_73566_1	267_qacEdelta_HM138673.1
d14A_12167_4	d7E_27135_12	267_qacEdelta_HM138673.1
d14A_12167_4	d7F_15115_3	267_qacEdelta_HM138673.1
d14A_12167_4	d7H_68943_4	267_qacEdelta_HM138673.1
d14A_12167_4	d7I_14803_1	267_qacEdelta_HM138673.1
d14A_12167_4	d7J_12514_2	267_qacEdelta_HM138673.1
d14A_12167_4	d7K_12389_15	267_qacEdelta_HM138673.1
d14A_12167_4	d7L_9124_5	267_qacEdelta_HM138673.1
d14A_12167_4	d7M_41119_5	267_qacEdelta_HM138673.1
d14A_12167_4	d7N_40738_2	267_qacEdelta_HM138673.1
d14A_12167_4	d7O_18917_1	267_qacEdelta_HM138673.1
d14A_12167_4	HC47_242_2	267_qacEdelta_HM138673.1
d14A_12167_4	d21K_107049_7	267_qacEdelta_HM138673.1
d14I_12788_5	d14I_12788_5	104_rep21_2_rep(pNVH01)_AJ512814.1
d14I_12788_5	d14B_96323_2	104_rep21_2_rep(pNVH01)_AJ512814.1
d14I_16871_1	d14I_16871_1	872_Tn916-orf6_KC414929
d14I_16871_1	d14K_27147_1	872_Tn916-orf6_KC414929
d14I_16871_1	d14N_26087_2	872_Tn916-orf6_KC414929
d14I_16871_1	d21A_25619_1	872_Tn916-orf6_KC414929
d14I_16871_1	d21E_29812_1	872_Tn916-orf6_KC414929
d14I_16871_1	d21F_27592_4	872_Tn916-orf6_KC414929
d14I_16871_1	d21J_26471_1	872_Tn916-orf6_KC414929
d14I_16871_1	d35O_59921_2	872_Tn916-orf6_KC414929
d14I_16871_1	d7B_70527_1	872_Tn916-orf6_KC414929
d14I_16871_1	d7E_482_1	872_Tn916-orf6_KC414929
d14I_16871_1	d7M_35564_1	872_Tn916-orf6_KC414929
d14I_16871_1	d7O_15500_1	872_Tn916-orf6_KC414929
d1F_107588_2	d1F_107588_2	1242_tnpA_KP826710.1
d1F_107588_2	d14I_52927_2	1242_tnpA_KP826710.1
d1F_107588_2	d3C_476_1	1242_tnpA_KP826710.1
d1F_107588_2	d1I_34756_2	1242_tnpA_KP826710.1
d1F_107588_2	d3L_17893_2	1242_tnpA_KP826710.1
d1F_107588_2	d42M_55431_2	1242_tnpA_KP826710.1
d1F_107588_2	d42N_19841_199	1242_tnpA_KP826710.1
d1F_107588_2	HC966_47_1	1242_tnpA_KP826710.1
d1F_107588_2	d35O_38691_3	1242_tnpA_KP826710.1
d1F_107588_2	d21A_176_3	1242_tnpA_KP826710.1
d3B_13833_2	d3B_13833_2	6_rep1_6_repE(pTEF1)_AE016833
d3B_13833_2	d28C_72304_1	6_rep1_6_repE(pTEF1)_AE016833
d3B_13833_2	d28E_67102_1	6_rep1_6_repE(pTEF1)_AE016833
d3B_13833_2	d3A_2372_1	6_rep1_6_repE(pTEF1)_AE016833
d3B_13833_2	d3D_9972_1	6_rep1_6_repE(pTEF1)_AE016833
d3B_13833_2	d3E_38156_2	6_rep1_6_repE(pTEF1)_AE016833
d3B_13833_2	d3G_3073_2	6_rep1_6_repE(pTEF1)_AE016833
d3B_13833_2	d3I_21745_2	6_rep1_6_repE(pTEF1)_AE016833
d3B_13833_2	d3L_3592_2	6_rep1_6_repE(pTEF1)_AE016833
d3B_13833_2	d3N_20679_1	6_rep1_6_repE(pTEF1)_AE016833
d3B_13833_2	d42J_13284_1	6_rep1_6_repE(pTEF1)_AE016833
d3B_13833_2	d5G_24963_1	6_rep1_6_repE(pTEF1)_AE016833
d3B_13833_2	d5L_18848_2	6_rep1_6_repE(pTEF1)_AE016833
d3B_13833_2	d5O_9517_2	6_rep1_6_repE(pTEF1)_AE016833
d3B_13833_2	d7N_17150_1	6_rep1_6_repE(pTEF1)_AE016833
d3B_13833_2	HC163_131_2	6_rep1_6_repE(pTEF1)_AE016833
d3B_13833_2	HC168_155_2	6_rep1_6_repE(pTEF1)_AE016833
d3B_13833_2	HC192_130_2	6_rep1_6_repE(pTEF1)_AE016833
d3B_13833_2	HC257_127_1	6_rep1_6_repE(pTEF1)_AE016833
d14B_4784_2	d14B_4784_2	53_rep10_4_repL(pDLK1)_GU562624.1
d14B_4784_2	d14I_4927_2	53_rep10_4_repL(pDLK1)_GU562624.1
d14B_4784_2	d14J_488_1	53_rep10_4_repL(pDLK1)_GU562624.1
d14B_4784_2	d14K_28920_2	53_rep10_4_repL(pDLK1)_GU562624.1
d14B_4784_2	d14L_701_1	53_rep10_4_repL(pDLK1)_GU562624.1
d14B_4784_2	d14M_48106_3	53_rep10_4_repL(pDLK1)_GU562624.1
d14B_4784_2	d14N_28842_2	53_rep10_4_repL(pDLK1)_GU562624.1
d14B_4784_2	d21A_32292_2	53_rep10_4_repL(pDLK1)_GU562624.1
d14B_4784_2	d21E_9111_2	53_rep10_4_repL(pDLK1)_GU562624.1
d14B_4784_2	d21F_3334_2	53_rep10_4_repL(pDLK1)_GU562624.1
d14B_4784_2	d21F_56597_1	53_rep10_4_repL(pDLK1)_GU562624.1
d14B_4784_2	d21J_9124_2	53_rep10_4_repL(pDLK1)_GU562624.1
d14B_4784_2	d21M_45363_1	53_rep10_4_repL(pDLK1)_GU562624.1
d14B_4784_2	d21N_29249_2	53_rep10_4_repL(pDLK1)_GU562624.1
d14B_4784_2	d28D_24078_2	53_rep10_4_repL(pDLK1)_GU562624.1
d14B_4784_2	d35A_9086_2	53_rep10_4_repL(pDLK1)_GU562624.1
d14B_4784_2	d35D_10494_1	53_rep10_4_repL(pDLK1)_GU562624.1
d14B_4784_2	d5E_14378_2	53_rep10_4_repL(pDLK1)_GU562624.1
d14B_4784_2	d5G_51252_2	53_rep10_4_repL(pDLK1)_GU562624.1
d14B_4784_2	d5M_36123_2	53_rep10_4_repL(pDLK1)_GU562624.1
d14B_4784_2	d7A_2052_2	53_rep10_4_repL(pDLK1)_GU562624.1
d14B_4784_2	d7B_116477_2	53_rep10_4_repL(pDLK1)_GU562624.1
d14B_4784_2	d7E_34395_5	53_rep10_4_repL(pDLK1)_GU562624.1
d14B_4784_2	d7I_19792_1	53_rep10_4_repL(pDLK1)_GU562624.1
d14B_4784_2	d7L_68834_2	53_rep10_4_repL(pDLK1)_GU562624.1
d14B_4784_2	d7M_8890_2	53_rep10_4_repL(pDLK1)_GU562624.1
d14B_4784_2	d7N_35555_3	53_rep10_4_repL(pDLK1)_GU562624.1
d14B_4784_2	d7O_49809_1	53_rep10_4_repL(pDLK1)_GU562624.1
d14B_4784_2	HC145_33_1	53_rep10_4_repL(pDLK1)_GU562624.1
d14B_14237_1	d14B_14237_1	2024_tnpA1_BX248356.1
d14B_14237_1	d14I_47615_6	2024_tnpA1_BX248356.1
d14B_14237_1	d14M_29540_1	2024_tnpA1_BX248356.1
d14B_14237_1	d21A_41582_2	2024_tnpA1_BX248356.1
d14B_14237_1	d21F_17880_7	2024_tnpA1_BX248356.1
d14B_14237_1	d21J_197881_7	2024_tnpA1_BX248356.1
d14B_14237_1	d21N_35893_2	2024_tnpA1_BX248356.1
d14B_14237_1	d28D_27508_2	2024_tnpA1_BX248356.1
d14B_14237_1	d35A_78382_6	2024_tnpA1_BX248356.1
d14B_14237_1	d7B_18947_3	2024_tnpA1_BX248356.1
d14B_14237_1	d7E_77528_2	2024_tnpA1_BX248356.1
d14B_14237_1	d7M_21299_1	2024_tnpA1_BX248356.1
d21F_25335_1	d21F_25335_1	1004_tnpA_KT779035.1
d21F_25335_1	d21J_66851_2	1004_tnpA_KT779035.1
d21F_25335_1	d35O_116403_1	1004_tnpA_KT779035.1
d21F_25335_1	d5J_7815_2	1004_tnpA_KT779035.1
d21F_25335_1	d7B_95246_2	1004_tnpA_KT779035.1
d14I_97505_1	d14I_97505_1	1431_IS91_AIEX01000012.1
d14I_97505_1	d14O_37513_2	1431_IS91_AIEX01000012.1
d21A_13182_13	d21A_13182_13	1670_IS91_CP000034.1
d21A_13182_13	HC607_1_543	1670_IS91_CP000034.1
d28B_15395_2	d28B_15395_2	1447_tnpA_CP002291.1
d28B_15395_2	d14D_14129_1	1447_tnpA_CP002291.1
d28B_15395_2	d1M_37768_7	1447_tnpA_CP002291.1
